-0.061,-1.700,0.970
-0.064,-1.782,0.915
-0.081,-1.756,0.844
-0.126,-1.616,0.780
-0.174,-1.418,0.737
-0.269,-1.146,0.711
-0.340,-0.833,0.697
-0.483,-0.456,0.699
-0.585,-0.066,0.726
-0.556,0.300,0.814
-0.687,0.650,0.936
-0.623,0.923,1.054
-0.584,1.054,1.180
-0.543,1.166,1.242
-0.502,1.246,1.293
-0.472,1.302,1.330
-0.446,1.357,1.335
-0.449,1.411,1.314
-0.423,1.431,1.284
-0.397,1.465,1.259
-0.366,1.484,1.244
-0.374,1.444,1.209
-0.334,1.402,1.189
-0.305,1.328,1.182
-0.246,1.209,1.147
-0.226,1.077,1.070
-0.190,0.949,0.996
-0.180,0.854,0.917
-0.178,0.703,0.824
-0.183,0.569,0.733
-0.191,0.469,0.680
-0.166,0.328,0.652
-0.173,0.194,0.630
-0.205,0.103,0.701
-0.154,0.022,0.762
-0.129,-0.041,0.797
-0.125,-0.083,0.834
-0.129,-0.087,0.906
-0.143,-0.012,0.976
-0.144,0.037,1.020
-0.174,-0.024,1.008
-0.181,-0.091,0.991
-0.183,-0.107,0.997
-0.178,-0.169,1.006
-0.170,-0.267,1.002
-0.170,-0.268,1.007
-0.182,-0.253,1.007
-0.176,-0.271,0.983
-0.184,-0.288,0.969
-0.170,-0.280,1.001
-0.151,-0.303,1.004
-0.144,-0.336,1.014
-0.145,-0.341,1.008
-0.138,-0.318,1.014
-0.141,-0.356,0.982
-0.138,-0.424,0.941
-0.120,-0.421,0.938
-0.107,-0.412,0.957
-0.101,-0.456,0.976
-0.093,-0.441,1.004
-0.090,-0.369,1.038
-0.078,-0.304,1.056
-0.057,-0.279,1.047
-0.038,-0.280,1.034
-0.026,-0.276,1.015
-0.024,-0.257,0.982
-0.028,-0.200,0.970
-0.015,-0.166,0.954
-0.015,-0.176,0.908
-0.023,-0.172,0.869
-0.027,-0.156,0.856
-0.017,-0.146,0.865
-0.007,-0.128,0.878
-0.003,-0.106,0.894
-0.017,-0.067,0.914
0.006,-0.062,0.911
-0.005,-0.077,0.906
-0.009,-0.076,0.894
0.002,-0.089,0.885
0.006,-0.107,0.864
0.002,-0.104,0.843
-0.026,-0.076,0.824
-0.022,-0.101,0.842
-0.012,-0.095,0.829
0.021,-0.128,0.821
0.002,-0.144,0.848
0.012,-0.116,0.863
-0.001,-0.102,0.865
-0.009,-0.098,0.860
-0.010,-0.085,0.846
0.096,-0.140,0.771
-0.101,-0.214,0.879
-0.235,-0.161,0.931
-0.108,-0.061,0.929
-0.067,-0.056,0.995
-0.063,-0.113,1.000
-0.040,-0.116,0.998
-0.067,-0.114,0.989
-0.069,-0.096,0.995
-0.086,-0.062,1.000
-0.104,-0.105,0.976
-0.071,-0.155,0.968
-0.078,-0.120,1.019
-0.075,-0.057,1.074
-0.060,-0.064,1.060
-0.059,-0.087,1.025
-0.075,-0.110,0.986
-0.082,-0.091,0.950
-0.098,-0.088,0.927
-0.112,-0.083,0.900
-0.119,-0.089,0.909
-0.110,-0.114,0.933
-0.114,-0.139,0.955
-0.100,-0.145,0.974
-0.121,-0.128,1.000
-0.137,-0.100,1.027
-0.152,-0.082,1.037
-0.160,-0.072,1.032
-0.129,-0.067,1.023

